;SPXT Index;S5INFT Index;S5TELS Index;S5CONS Index;S5COND Index;S5ENRS Index;S5FINL Index;S5HLTH Index;S5INDU Index;S5MATR Index;S5RLST Index;S5UTIL Index;GB03 Govt;S5SFTW Index;S5TECH Index;S5MEDA Index;S5SSEQX Index;S5DIVF Index;S5PHRM Index;S5RETL Index;S5CPGS Index;S5HCES Index;S5ENRSX Index;S5FDBT Index;S5BANKX Index;S5MATRX Index;S5UTILX Index;S5REAL Index;S5INSU Index;S5HOTR Index;S5AUCO Index;S5FDSR Index;S5HOUS Index;S5TRAN Index;S5COMS Index;S5CODU Index;S5TELSX Index
;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Dates;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;PX_Last;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS
#NAME?;369.55;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
30.10.89;357.33;66.43;90.31;58.2;71.3799;81.39;78.04;67.46;70.41;72.9;#N/A N/A;95.81;7.99;48.02;70.08;77.89;26.51;67.7391;65.14;63.92;64.99;76.42;81.39;59.6;80.52;72.9;95.81;#N/A N/A;81.96;69.92;78.49;70.43;49.91;78.09;93.71;72.71;90.31
31.10.89;363.11;67.48;91.36;59.15;72.205;82.92;79.23;68.8;71.53;74.48;#N/A N/A;97.11;8.032;49.03;71.15;78.39;27.24;68.7779;66.53;64.9;66.14;77.08;82.92;60.59;81.88;74.48;97.11;#N/A N/A;83.03;70.57;79.45;71.65;50.62;79;94.82;73.72;91.36
01.11.89;364.01;67.41;91.43;59.35;72.3846;82.89;79.54;69.4;71.59;74.52;#N/A N/A;97.88;8.03;49.65;70.98;78.43;27.03;68.3302;67.13;64.87;66.18;77.6;82.89;60.91;81.86;74.52;97.88;#N/A N/A;84.22;70.64;79.73;72.06;50.39;78.72;95.4;74.55;91.43
02.11.89;361.31;65.39;90.85;58.84;71.7985;82.37;79.04;69.11;70.98;74.24;#N/A N/A;97.8;7.976;47.59;68.93;77.89;26.24;67.326;66.85;64.75;65.67;77.36;82.37;60.47;81.08;74.24;97.8;#N/A N/A;84.35;70;78.76;71.2;49.79;77.93;94.38;73.24;90.85
03.11.89;360.41;64.97;90.57;58.63;71.5717;82.35;78.91;68.83;70.82;74.1;#N/A N/A;97.79;8.097;47.33;68.48;77.99;25.67;66.6483;66.52;64.43;65.42;77.45;82.35;60.24;80.52;74.1;97.79;#N/A N/A;85.06;69.31;78.41;70.94;49.68;78.65;93.81;73.06;90.57
06.11.89;355.19;63.81;89.63;57.7;70.4032;81.23;77.53;67.76;69.78;73;#N/A N/A;96.78;8.116;46.36;67.28;76.94;25.1;65.7218;65.41;63.81;64.4;76.91;81.23;59.07;78.73;73;96.78;#N/A N/A;83.87;67.93;76;70.46;49.31;77.45;92.91;71.92;89.63
07.11.89;357.69;64.67;90.38;58.02;70.8673;81.64;78.05;68.42;69.99;73.41;#N/A N/A;97.54;7.988;47.14;68.17;76.79;25.9;65.8434;66.1;64.29;64.73;77.25;81.64;59.44;79.65;73.41;97.54;#N/A N/A;84.15;68.54;77.18;70.5;49.59;77.23;92.76;72.48;90.38
08.11.89;361.28;64.56;91.21;58.9;71.655;81.9;79.37;69.61;70.85;73.64;#N/A N/A;98.1;7.913;48;67.91;77.92;26.08;66.6771;67.31;64.94;65.6;78.01;81.9;60.45;81.46;73.64;98.1;#N/A N/A;85.21;69.04;78.11;70.69;50.29;77.59;94.15;73.03;91.21
09.11.89;359.69;64.72;90.76;58.46;71.2905;80.95;79.25;69.81;70.7;72.93;#N/A N/A;97.46;7.965;48.07;68.1;78.04;26.34;66.6671;67.53;64.38;65.46;78.08;80.95;60.09;81.43;72.93;97.46;#N/A N/A;84.91;68.75;77.89;70.43;49.55;77.24;94.1;72.1;90.76
10.11.89;362.5;65.32;91.58;58.91;71.8189;81.51;79.34;70.91;71.22;73.37;#N/A N/A;97.96;7.96;48.19;68.77;78.58;26.89;66.3478;68.67;65;66;78.69;81.51;60.41;81.67;73.37;97.96;#N/A N/A;85.09;70.32;77.69;71.13;50.34;77.96;94.32;72.72;91.58
